Thai,English,Type
ก็,Well,"Adv, Conj"
กงสุล,consul,N
กฎหมาย,law,N
ก็ได้,okay,POS
ก้น,bottom,N
กบ,frog,N
กรกฎาคม,July,N
กรง,cage,N
กรณี,case,N
กรม,department,N
กรรไกร,scissors,N
กรอบ,frame,Adj
กระจก,mirror,N
กระจาย,spread,V
กระดาน,board,N
กระดานดำ,blackboard,N
กระดาษ,paper,N
กระดาษแข็ง,cardboard,N
กระดาษชำระ,Toilet paper,N
กระดิ่ง,bell,N
กระดุม,Buttons,N
กระดูก,bone,"N, Adj"
กระโดด,jump,V
กระต่าย,rabbit,N
กระทะ,frying pan,N
กระเทียม,garlic,N
กระบอก,cylinder,"N, Class"
กระเบื้อง,tile,N
กระป๋อง,can,N
กระเป๋า,bag,N
กระเป๋าถือ,handbag,N
กระเป๋าสตางค์,wallet,N
กระโปรง,skirt,N
กระหล่ำดอก,Cauliflower,N
กรัม,gram,Class 
กรุงเทพฯ,Bangkok,N
กลม,round,Adj
กล้วย,banana,N
กล้วยไม้,orchid,N
กล้วยหอม,Banana,N
กลอง,drum,N
กล่อง,box,N
กล้องถ่ายรูป,camera,N
กล่องเล็กๆ - กลัก,small box - box,N 
กลับ,go back,V
กลับบ้าน,go home,V
กลับไป,go back,V
กลับมา,return,V
กลับรถ,Make a U-turn,V
กลัว,afraid,Adj
กล้า,brave,Adj
กลาง,center,Adj
กลางคืน,nighttime,N
กลางเดือน,middle of the month,N
กลางวัน,daytime,N
กลางวัน,daytime,N
กล้าม,muscle,N
กลิ่น,smell,Adj
กลืน,swallow,V
กลุ้มใจ,dismal,Adj
ก๋วยเตี๋ยว,noodles,N
กว่า,than,Adj
กว้าง,wide,Adj
กวาด,sweep,V
ก๊อกน้ำ,tap,N
กอง,pile,Class
กอด,hug,V
ก่อน,before,Adv
ก้อน,lump,Class
ก่อนถึง  ,before reaching  ,Adv
ก่อนที่,before,Adv
ก่อนอาหาร,before a meal,Adv
ก๊อปปี้ - สำเนา,copy - copy,N
